Programa,Total no ano (R$)
"2081 - Justiça, Cidadania e Segurança Pública","129.402.528,53"
"0089 - Previdência de Inativos e Pensionistas da União","22.587.542.666,93"
"2086 - Transporte Aquaviário","569.286.756,70"
"0122 - Serviços Urbanos de Água e Esgoto","4.019.016,77"
"1459 - Vetor Logístico Nordeste Setentrional","486.392,01"
"2101 - Programa de Gestão e Manutenção da Presidência da República","927.404.181,49"
"1295 - Descentralização dos Sistemas de Transporte Ferroviário Urbano de Passageiros","110.702,38"
"2126 - Programa de Gestão e Manutenção do Ministério dos Transportes","1.084.631.503,48"
"1456 - Vetor Logístico Amazônico","1.736.446,04"
"2038 - Democracia e Aperfeiçoamento da Gestão Pública","125.002.081,90"
"0906 - Operações Especiais: Serviço da Dívida Externa (Juros e Amortizações)","4.418.763.882,41"
"2066 - Reforma Agrária e Governança Fundiária","106.219.696,97"
"2052 - Pesca e Aquicultura","7.386.289,87"
"2051 - Oferta de Água","457.977.337,46"
"2074 - Transporte Marítimo","50.001.604,94"
"1461 - Vetor Logístico Centro-Sudeste","57.868,96"
"2128 - Programa de Gestão e Manutenção do Ministério do Turismo","32.302.725,64"
"1453 - Nacional de Segurança Pública com Cidadania - PRONASCI","2.310,01"
"0550 - Controle Externo","245.605,38"
"2077 - Agropecuária Sustentável","2.327.010.558,27"
"2050 - Mudança do Clima","11.110.763,18"
"2068 - Saneamento Básico","25.309.295,26"
"2076 - Desenvolvimento e Promoção do Turismo","32.355.144,08"
"2082 - Política Externa","12.435.910,09"
"0551 - Atuação Legislativa do Senado Federal","20.266,66"
"2060 - Coordenação de Políticas de Prevenção, Atenção e Reinserção Social de Usuários de Crack, Álcool e outras Droga","36.210.832,17"
"1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO","471.456,11"
"0225 - Gestão da Política dos Transportes","4.918.598,98"
"0751 - Serviços de Tecnologia da Informação","235.993.084,67"
"1458 - Vetor Logístico Leste","2.290.716,87"
"2057 - Política Externa","42.923.723,19"
"2014 - Agropecuária Sustentável, Abastecimento e Comercialização","1.627.123.162,99"
"2054 - Planejamento Urbano","716.874,85"
"0571 - Prestação Jurisdicional Trabalhista","320.203,64"
"0909 - Operações Especiais: Outros Encargos Especiais","19.320.510.521,36"
"2070 - Segurança Pública com Cidadania","153.024.316,38"
"2085 - Redução do impacto social do álcool e outras drogas: Prevenção, Cuidado e Reinserção Social","321.906,05"
